a bad egg,sözünde durmayan
seismoscope,sismoskop
seizable,yakalanabilir
seize up,tutukluk yapmak
seize,tutmak, değerlendirmek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seizin,mülk edinme
seizings,bağlama sicimi
seizure,el koyma
seldom,nadiren
select,seçme
selectee,askere çağırılan kimse
selecting,seçme
selection committee,teklif komitesi
selection examination,seçme sınavı
selection rules,seçme kuralları
selection,seçme
selective,ayıran
selectivity,seçicilik
selector,seçici
selenate,selenat
selenic,selenik
selenide,selenür
selenite,selenit
selenium cell,selenyum selülü
selenium,selenyum
selenography,ay haritacılığı
selenology,ay bilgisi
self pollination,öz özüne tozlaşma
self,kendi, kişisel, bizzat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self-,(önek) kendi
self-absorption,öz soğurma
self-acting,otomatik
self-adapting,özuyumlu
self-addressed,gönderene geri gönderilen
self-adhesive,öz özüne yapışan
self-adjusting,otomatik ayarlanan
self-assertive,öz fikrinde ısrar eden
self-assurance,özüne güvenme
self-bias,otomatik öngerilim
self-capacitance,öz kapasite
self-centred,bencil
self-centring,otomatik merkezlendiren
self-checking,özdenetimli
self-coloured,tek renkli
self-command,özünü tutma
self-confessed,özünün olduğunu itiraf eden
self-confidence,özünden emin olma
self-confident,özünden emin
self-conscious,sıkılgan
self-contained,müstakil
self-contradiction,özüyle çatışma
self-contradictory,özüyle çatışan
self-control,özüne hâkimiyet
self-defence,özünü savunma
self-denial,özünü tutma
self-determination,öz özüne karar verme hakkı
self-diffusion,öz yayılma
self-discharge,özboşalım
self-discipline,öz disiplin
self-educated,öz özünü yetiştirmiş
self-effacing,alçakgönüllü
self-employed,öz işinde çalışan
self-energy,serbest enerji
self-esteem,benbencilik
self-evident,apaçık
self-examination,içgözlem
self-excitation,özuyarım
self-excited,özuyarımlı
self-existence,özdenlik
self-feeder,otomatik yemlik
self-financing,otofinansman
self-government,öz özünü yönetme
self-hardening,öz özüne sertleşen
self-help,öz özüne yetme
self-ignition,otomatik ateşleme
self-importance,kibir
self-important,özünü beğenmiş
self-inductance,özindüktans
self-induction,özindükleme
self-indulgence,kendi zevk ve rahatına düşkünlük
self-indulgent,kendi rahatına fazla düşkün
self-interest,kişisel çıkar
self-laceration,özünü yaralama
self-loading,(tabanca) yarı otomatik
self-locking,otomatik kilitlemeli
self-lubricating,kendi yağlayan
self-luminous,kendiliğinden ışık veren
self-made,öz özünü yetiştirmiş
self-opinionated,kibirli
self-organizing,özörgütlü
self-oxidation,özyükseltgenme
self-pity,özünü zavallı hissetme
self-portrait,ressamın kendi resmi
self-possessed,temkinli
self-possession,soğukkanlılık
self-preservation,özünü koruma
self-quenching,özsönümlü
self-regulating,özayarlı
self-reliance,özgüven
self-reliant,özgüvenli
self-respect,izzetinefis
self-righteous,özünü beğenmiş
self-sacrifice,fedakârlık
self-sacrificing,özverili
self-same,tıpkı
self-satisfaction,özünü beğenme
self-satisfied,özünü beğenmiş
self-saturation,özdoyma
self-scattering,özsaçılım
self-seeking,çıkarcı
self-service,selfservis
self-shielding,özkalkanlama
self-starter,otomatik marş
self-styled,uydurma unvanlı
self-sufficiency,öz özüne yetme
self-sufficient,özüne yeten
self-supporting,öz özünü geçindiren
self-taught,özöğrenimli
self-will,inatçılık
self-winding,(saat) otomatik
selfie,özçekmiş
selfish,bencil
selfishness,bencillik
selfless,özünü ya da çıkarını düşünmeyen
selfsame,tamamen aynı
Seljuk,Selçuk
sell at a sacrifice,zararına satmak
sell by auction,açık artırma ile satmak
sell cut price,başkalarından daha ucuza satmak
sell like hot cakes,çok satılmak
sell off,elden çıkarmak
sell oneself,özünü satmak
sell out of sth,bir maldan elde kalmamak
sell out,hepsini satmak
sell sb a bill of goods,birine külah giydirmek
sell sb a pup,birini kafese koymak
sell sb short,birini hafife almak
sell seconds,defolu mal satmak
sell short,açıktan satmak
sell under price,fiyatının altında satmak
sell up,satıp savmak
sell,satmak, aldatmak, yutturmak, dalavere, oyun, dolap, üçkâğıt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sell-by date,miat tarihi
seller,satıcı
sellers market,satıcı piyasası
sellers market,satıcı piyasası
selling agent,satış acentesi
selling area,satış yeri
selling commission,satış komisyonu
selling costs,satış maliyetleri
selling order,satış emri
selling price,satış fiyatı
selling rate,satış kuru
selling space,satış yeri
selling,satış
sellotape,seloteyp
sellout,elden çıkarma
selvage,etek baskısı
semantic change,anlam değişimi
semantic component,anlamsal bileşen
semantic transfer,anlam kayması
semantic,anlamsal
semantics,anlambilim
semaphore,semafor
semasiology,kavrambilim
sematic,işaret eden
semblance,biçim
seme,anlambirimcikkayması
semeiologic,göstergebilimsel
semeiology,göstergebilim
semeion,işaret
sememe,anlambirimcik demeti
semen,meni
semester,dönem
semi,tek duvarla bitişik müstakil ev
semi-,(önek) yarı
semi-annual,altı aylık
semi-detached,yarı müstakil
semiannual,yarıyıllık
semiautomatic,yarı otomatik
semicarbazone,semikarbazon
semicircle,yarım daire
semicircular,yarım daire biçiminde
semiclosed,yarı kapalı
semicolon,çekitli virgül
semicompiled,yarı derlenmiş
semiconductor,yarı iletken
semidetached,(ev) bir duvarı yandaki eve bitişik
semifinal,yarıfinal
semifinished,yarı mamul
semifluid,yarı sıvı
semilong,yarı uzun
semilunar,yarımay biçiminde
seminal duct,sperma arnası
seminal fluid,sperma
seminal power,üreme gücü
seminal,tohumla ilgili
seminar,seminer
semination,tohumlama
seminiferous,spermli
seminomad,yarı göçebe
semiofficial,yarı resmi
semiological,göstergebilimsel
semiology,göstergebilim
semiopen,yarı açık
semiotic,göstergebilimsel
semiotics,göstergebilim
semipermeable,yarı geçirgen
semiprecious,(mücevher/taş/vb.) ikinci derecede değerli
semiquaver,on altılık nota
semirefined,yarı rafine
semisolid,yarıkatı
semisteel,yarı çelik
Semite,Sami ırkından kimse
Semitic languages,Sami dilleri
Semitic,Samilerle ilgili
semitone,yarımton
semitrailer,yarı römork
semitransparent,yarısaydam
semivowel,yarı ünlü (ses)
semiweekly,haftada iki kere olan/çıkan
semolina,irmik
sempiternal,ebedi
senate,senato
senator,senatör
senatorship,senatörlük
send away,başka bir yere göndermek
send down,birdemden atmak
send for,çağırmak
send forth,yaymak
send in ones resignation,istifasını vermek
send in,içeri göndermek
send off,postalamak
send out,dağıtmak
send sb packing,sepetlemek
send shivers down ones back,tüylerini diken diken etmek
send up,taklidini yapmak
send,göndermek, -e mecbur etmek, heyecanlandırmak, çok memnun etmek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sender transmitting station,verici istasyon
sender,gönderen
senega,sütotu
senescence,yaşlılık
senescent,yaşlanan
senile decay,yaşlılık nedeniyle çökme
senile,bunak
senility,yaşlılık
senior citizen,yaşlı kimse
senior executive,yüksek düzey idareci
senior officer,kıdemli subay
senior staff,yönetim kadrosu
senior,yaşça daha büyük
seniority indemnity,kıdem tazminatı
seniority,kıdemlilik
senna,sinameki
sennet,boru sesi
sensation nerve,duyu siniri
sensation,his
sensational,heyecanlı
sense of humour,mizah anlayışı
sense of rotation,dönme yönü
sense of smell,koklama duyusu
sense of touch,dokunma hissi
sense organ,duyu kılganı
sense,duyu,kanı,genel düşünce,yön,eğilim,hissetmek,paykamak,sezmek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senseless,özünden geçmiş
senselessness,akılsızlık
sensibility,duyarlık
sensible,akla uygun, farkına varılır, hissedilir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sensibleness,akıllılık
sensing,algılama
sensitive plant,küstümotu
sensitive to air,havaya karşı duyarlı
sensitive to light,ışığa karşı duyarlı
sensitive,duyarlı
sensitiveness,hassaslık
sensitivity,duyarlık
sensitize,duyarlı hale koymak
sensitizer,sensibilizatör
sensitometer,sansitometre
sensitometry,sansitometri
sensor,algılayıcı
sensorial,duyumsal
sensorium,sinir jüyesi
sensory nerve,duyu siniri
sensory organs,duyu kılganları
sensory,duyumsal
sensual,tensel
sensualism,şehvet düşkünlüğü
sensualist,şehvet düşkünü kimse
sensuality,şehvet
sensuous,duyguları okşayıcı
sentence of statement,bildirme cümlesi
sentence to death,idama mahkûm etmek
sentence,tümce
sententious,özdeyişli sözlerle dolu
sentience,hissedebilirlik
sentient,sezgili
sentiment,duygu
sentimental,duygusal
sentimentality,aşırı duygusallık
sentimentalize,duygusallaştırmak
sentinel,nöbetçi
sentry,nöbetçi er
sepal,çanak yaprağı
separability,birbirinden ayrılabilme
separable,ayrılabilir
separate the wheat,sapı samandan ayırmak
separate,ayırmak
separately,ayrı ayrı
separateness,ayrılık
separation,ayırma
separatism,bölücülük
separatist,ayrıklıkçı türküm üyesi
separative,ayırıcı
separator,ayırıcı
sepia,mürekkep balığının mürekkebi
sepsis,kan zehirlenmesi
sept,kabile
septate,bölmeli
September,Eylül
septenary,yedi sayısına ait
septennial,yedi yıl süren
septic tank,fosseptik
septic,mikroplu
septicaemia,septisemi
septuagenarian,70 - 80 yaş arasındaki kimse
septum,bölme
septuple,yedi kat
sepulchral,mezara ait
sepulchre,gömüt
sepulture,gömme
sequel,bir şeyin devamı
sequence counter,sıra sayacı
sequence of tenses,zamanların uyumu
sequence register,sıra yazmacı
sequence,ard arda geliş
sequent,art arda gelen
sequential access,sırasal erişim
sequential control,sırasal denetim
sequential logic,sırasal mantık
sequential operation,sırasal işlem
sequential sampling,ardışık örnekleme
sequential scanning,basit tarama
sequential system,almaşık renk işlemi
sequential,ardıl
sequester,ayırmak
sequestering agent,kompleks yapıcı
sequestrate,el koymak
sequestration,haciz
sequestrum,ayrılmış ölü sümük/doku
sequin,pul
sequoia,sekoya
seraglio,saray
seraphic,melek gibi
Serbia,Sırbistan
Serbian,Sırbistana ait
serenade,serenat
serene,durgun
serenity,berraklık
serf,toprağa bağlı köle
serfdom,kölelik
serge,şayak
sergeant major,başçavuş
sergeant,çavuş
serial computer,seri bilgisayar
serial number,seri numarası
serial,seri halinde
serialize,dizi olarak yayınlamak
seriatim,sırasıyla
sericeous,ipek gibi
sericin,ipek zamkı
sericulture,ipekçilik
sericulturist,ipekböceği yetiştiricisi
series circuit,seri devre
series connection,seri bağlama
series motor,seri motor
series,sıra
serin,bir tür kanarya
serine,serin
seriocomic,yarı ciddi yarı komik
serious,ciddi,ciddi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seriously,ciddi olarak
seriousness,ciddiyet
sermon,dinsel konuşma
sermonize,vaaz vermek
serology,serumlar bilgisi
serous membrane,seröz zar
serous,seröz
serpent,yılan
serpentine,yılan gibi kıvrılan
serpiginous,cilt hastalığı olan
serrate,testere dişli (yaprak)
serrated,testere dişli
serration,testere dişi gibi olma
serried,sık
serrulate,ince dişli
serum,serum
serval,bir tür yaban kedisi
servant girl,hizmetçi kız
servant,hizmetçi
serve out,dağıtmak
serve sb right,müstehak olmak
serve the same purpose,aynı işi görmek
serve up,yemeği sofraya koymak
serve,-e hizmet etmek, işine yaramak, (yemek) vermek, memuriyet, servis, hizmet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
server,servis atan oyuncu
service agreement,hizmet sözleşmesi
service area,yayın alanı
service band,yayın bandı
service book,dua kitabı
service bureau,servis bürosu
service charge,servis vergini
service line,başlama çizgisi
service manual,bakım el kitabı
service program,hizmet bağdarlaması
service road,servis yolu
service stairs,servis merdiveni
service station,benzin istasyonu
service tree,üvez
service,hizmet, yardım, fayda, hizmetçilik, uşaklık, memuriyet, servis, (konakçı/vb.de) servis, bakmak, bakımını sağlamak, bakımını yapmak, onarmak, huk.tebliğ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
serviceability,yarar
serviceable,dayanıklı
serviceman,ordu/donanma
servicing,hizmet
servient,ipotekli
serviette,peçete
servile,köle gibi
servility,gurursuzluk
serving spoon,servis kaşığı
serving,porsiyon
servitor,hizmetçi
servitude,kölelik
servo,servo
servomechanism,servomekanizma
servomotor,servomotor
sesame oil,susam yağı
sesame,susam
sesamoid bone,susamsı sümük
sesamoid,susamsı
sesqui-,(önek) bir buçuk
sessile,sapsız
session,oturum
set a good example,iyi örnek olmak
set a high standard,yüksek bir standart tutturmak
set a precedent,emsal oluşturmak
Set a thief to catch a thief,Dinsizin hakkından imansız gelir
set about,başlamak
set against,birbirine düşürmek
set apart,ayırmak
set aside,bir kenara koymak
set at ease,yatıştırmak
set back,(sögeni) geri almak
set before,önüne koymak
set down,yazmak
set eyes on,gözüne ilişmek
set fire to,ateşe vermek
set foot in,ayak basmak
set forth,açıklamak
set free,serbest bırakmak
set in motion,harekete geçirmek
set in,başlamak
set off on a journey,yolculuğa çıkmak
set off,yola çıkmak
set on edge,kamaştırmak
set on,saldırmak
set one back on ones heels,birini beyninden vurulmuşa döndürmek
set ones cap at,abayı yakmak
set ones face against,karşı çıkmak
set ones heart on,-e gönlünü vermek
set out,yola çıkmak
set people by the ears,aralarına kara kedi sokmak
set right,düzeltmek
set sb on a pedestal,idealize etmek
set sbs mind at rest,yüreğine su serpmek
set sbs teeth on edge,birinin sinirine dokunmak
set square,gönye
set sth aside for,ayırmak
set the ball rolling,ön ayak olmak
set the scene,-e sahne hazırlamak
set the seal on sth,bir sorunu kökünden halletmek
set the stage for,zemin hazırlamak
set the trend,moda başlatmak/yaymak
set the wheels in motions,baş çekmek
set theory,kümeler kuramı
set to rights,iyileştirmek
set to work,çalışmaya başlamak
set to,girişmek
set tongues wagging,dillere destan olmak
set up a business,iş açmak
set up shop,işe başlamak
set up,kurmak
set upon,üzerine hücum etmek
set,koymak,kafasına koymuş,hazır,sabit,değişmez,belirli,belirlenmiş,kararlaştırılmış,takım,set,seri,koleksiyon,türküm,takım,cihaz,set,(güneş) batma,batış,türküm,duruş,vaziyet,(giysi) vücuda oturuş,film çekilen yer,set,dekor,stüdyo düzlüğü,,,,,,,,,,,,,,,
seta,sert kıl
setaceous,sert kıllı
setback,gerileme
setiferous,sert kıllı
seton,kıl fitili
setscrew,kontrol vidası
sett,kaldırım taşı
settee,kanepe
setter,bir tür av köpeği
setting,koyma
settle an account with sb,hesaplaşmak
settle an account,hesabı ödemek
settle down,oturmak
settle for account,vadeli satmak
settle for,razı olmak
settle in,alışmak
settle sbs hash,birinin çanına ot tıkamak
settle up,ödemek
settle,-de koloniler kurmak, kararlaştırmak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
settled,sabit
settlement day,hesaplaşma günü
settlement,yeni küçük yerleşim alanı
settler,yeni bir yere gidip yerleşen kimse
settling tank,çökeltme tankı
settling,oturma
setto,çarpışma
setup,tertibat
seven,yedi
seven-fold,yedi kat
seventeen,onyedi
seventeenth,onyedinci
seventh,yedinci
seventieth,yetmişinci
seventy,yetmiş
sever,kesmek
several,birkaç
severally,ayrı ayrı
severalty,ayrılık
severance pay,kıdem tazminatı
severance,ayırma
severe accident,ağır kaza
severe,sert
severely,şiddetle
severity,şiddet
sew,dikmek
sewage disposal,lağım boşaltma usulü
sewage pipe,pissu borusu
sewage sludge,lağım pisliği
sewage system,kanalizasyon
sewage,lağımdan akan artık madde
sewer gas,lağım gazı
sewer pipe,lağım borusu
sewer,lağım
sewerage system,lağım jüyesi
sewerage,kanalizasyon
sewing machine needle,dikiş kılgası iğnesi
sewing machine,dikiş kılgası
sewing silk,ibrişim
sewing yarn,dikiş ipliği
sewing,dikiş
sewn,dikili
sex appeal,cinsel çekicilik
sex chromosome,cinsiyet kromozomu
sex hormones,cinsiyet hormonları
sex organs,cinsel kılganlar
sex,cinsiyet
sexadecimal,onaltılı
sexagenarian,60 - 70 yaş arasındaki kimse
sexennial,altı yılda bir olan
sexism,karşı cinsin zayıf olduğunu savunan zihniyet
sexist,karşı cinsin daha zayıf/yeteneksiz olduğuna inanan
sexless,cinsiyetsiz
sexology,seksoloji
sextant,sekstant
sextet,altı bitlik sayı
sextuple,altı misli
sextuplet,altız
sexual harassment,cinsel taciz
sexual intercourse,cinsel birleşme
sexual organs,üreme kılganları
sexual perversion,cinsel sapıklık
sexual reproduction,eşeyli üreme
sexual,cinsel
sexuality,seks düşkünlüğü
sexy,seksi
shabbiness,kılıksızlık
shabby,eski
shack,kulübe
shackle,köstek
shad,tirsi balığı
shadberry,kayaarmudu
shaddock,greypfrut
shade away,yavaş yavaş kaybolmak
shade bearer,gölge ağacı
shade,gölge, ayrıntı, nüans, hayalet, ruh, ç, güneş gözlüğü, gölgelemek, gölgelendirmek, gölge vermek, karartmak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shades,güneş gözlüğü
shadiness,gölgelik
shading,gölgeleme
shadoof,su kaldıracı
shadow cabinet,gölge kabine
shadow chancellor,muhalefetteki bakan
shadow government,muhalefet hükümeti
shadow play,gölge oyunu
shadow prices,gölge fiyatlar
shadow,gölge, ayrılmaz arkadaş, gölge, koruma, himaye, gölgelendirmek, gölgelemek, gölgesiyle örtmek, karartmak, gölgesi gibi izlemek, gizlice izlemek, gözetlemek, peşinden ayrılmamak, gölgesi olmak,,,,,,,,,,,,,,,,,,,,,,,,,,,
shadowless,gölgesiz
shadowy,gölgeli
shady,gölgeli
shaft bearing,şaft yatağı
shaft,mil
shafting,şaft donanımı
shag,sert tütün
shaggy,kaba tüylü
shagreen,sağrı derisi
shah,şah
shake down,yer yatağında uyumak
shake hands,el sıkışmak
shake in ones shoes,üç buçuk atmak
shake like a jelly,tir tir titremek
shake like a leaf,tir tir titremek
shake off,-den kurtulmak
shake ones head,kafasını sallayarak hayır demek
shake oneself,silkinmek
shake out,silkelemek
shake sb rigid,ödünü koparmak
shake the pagoda,köşeyi dönmek
shake up,düzenlemek
shake,sallamak, sarsıntı, sarsma, titreme, sallama, sallanma, silkme, el sıkışma, an, saniye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shakedown,uydurma yatak
shaker,tuzluk/biberlik
shakiness,zayıflık
shaking channel,sarsak oluk
shaking,sallanan
shaky,titrek
shale oil,şist yatağı
shale,katmanlarına ayrılabilen yumuşak kaya
shall I,yapayım mı
shall we,yapalım mı
